# Chunk-averaged data for fix myac1 and group H2O
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
200000 42 1217.9999999999998
  1 -20.5 0 0 0
  2 -19.5 0 0 0
  3 -18.5 0 0 0
  4 -17.5 0 0 0
  5 -16.5 0 0 0
  6 -15.5 0 0 0
  7 -14.5 0 0 0
  8 -13.5 0 0 0
  9 -12.5 0 0 0
  10 -11.5 6.66667e-05 1.89912e-07 -0.00289518
  11 -10.5 2.03607 0.00591591 -0.000167629
  12 -9.5 63.5359 1.04841 -0.000187598
  13 -8.5 83.6345 1.52516 -0.000166412
  14 -7.5 34.4373 0.410359 -0.000146778
  15 -6.5 64.7205 1.2271 -0.000152246
  16 -5.5 70.7759 1.20452 -0.000129247
  17 -4.5 51.6983 0.859371 -8.39777e-05
  18 -3.5 57.6615 1.01154 -7.2101e-05
  19 -2.5 60.84 1.05064 -6.66778e-05
  20 -1.5 55.9347 0.943754 -2.89354e-05
  21 -0.5 57.1342 0.962019 -1.90546e-05
  22 0.5 59.1701 1.02023 1.16815e-05
  23 1.5 55.9713 0.931281 3.17369e-05
  24 2.5 60.1135 1.0417 6.97822e-05
  25 3.5 58.809 1.00569 6.95692e-05
  26 4.5 53.0224 0.902426 0.00010128
  27 5.5 66.2899 1.08633 0.000126358
  28 6.5 68.5985 1.29694 0.000156222
  29 7.5 38.4486 0.46028 0.000192282
  30 8.5 78.0641 1.385 0.000198528
  31 9.5 74.5021 1.28444 0.000192869
  32 10.5 2.6008 0.00754161 0.00016517
  33 11.5 0.000533333 1.5193e-06 0.00576858
  34 12.5 0 0 0
  35 13.5 0 0 0
  36 14.5 0 0 0
  37 15.5 0 0 0
  38 16.5 0 0 0
  39 17.5 0 0 0
  40 18.5 0 0 0
  41 19.5 0 0 0
  42 20.5 0 0 0
