  using 8 OpenMP thread(s) per MPI task
using multi-threaded neighbor list subroutines
Reading data file ...
  orthogonal box = (-60 -40 -40) to (60 40 40)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  700 atoms
  read_data CPU = 0.004 seconds
Reading airebo potential file CH.airebo with DATE: 2011-10-25
700 atoms in group carbon_atoms
10 atoms in group cnt_top
10 atoms in group cnt_bot
680 atoms in group cnt_mid
630 atoms in group rdel
Deleted 10 atoms, new total = 690
Resetting atom IDs ...
Last active /omp style is pair_style airebo/omp
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12.2
  ghost atom cutoff = 12.2
  binsize = 6.1, bins = 20 14 14
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair airebo/omp, perpetual
      attributes: full, newton on, ghost, omp
      pair build: full/bin/ghost/omp
      stencil: full/ghost/bin/3d
      bin: standard
WARNING: Temperature for thermo pressure is not for group all (src/thermo.cpp:533)
Last active /omp style is pair_style airebo/omp
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 12.74 | 12.74 | 12.74 Mbytes
   Step          Temp          TotEng         v_Lcnt         v_Fcnt    
      9800   318.13469     -4896.0877      55.472         10.975202    
      9900   303.0383      -4896.4355      55.472         21.045146    
     10000   304.64375     -4897.1605      55.472         12.961248    
Loop time of 27.1734 on 8 procs for 10000 steps with 690 atoms

Performance: 15.898 ns/day, 1.510 hours/ns, 368.007 timesteps/s, 253.925 katom-step/s
818.5% CPU use with 1 MPI tasks x 8 OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 25.141     | 25.141     | 25.141     |   0.0 | 92.52
Neigh   | 0.00087591 | 0.00087591 | 0.00087591 |   0.0 |  0.00
Comm    | 0.0042982  | 0.0042982  | 0.0042982  |   0.0 |  0.02
Output  | 1.1706     | 1.1706     | 1.1706     |   0.0 |  4.31
Modify  | 0.80292    | 0.80292    | 0.80292    |   0.0 |  2.95
Other   |            | 0.05375    |            |       |  0.20

Nlocal:            690 ave         690 max         690 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:              0 ave           0 max           0 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:              0 ave           0 max           0 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:       146506 ave      146506 max      146506 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 146506
Ave neighs/atom = 212.32754
Neighbor list builds = 1
Dangerous builds = 0
Last active /omp style is pair_style airebo/omp
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 10000
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 12.99 | 12.99 | 12.99 Mbytes
   Step          Temp          TotEng         v_Lcnt         v_Fcnt    
     10000   304.64375     -4897.1605      55.472         12.961248    
     10100   306.90355     -4897.3131      55.547         15.249409    
     10200   306.28746     -4896.9812      55.622         13.320339    
     10300   304.0207      -4896.5111      55.697         18.193255    
     10400   296.85747     -4896.0851      55.772         15.36116     
     10500   302.91242     -4895.4529      55.847         22.422284    
     10600   292.68138     -4894.5945      55.922         19.450423    
     10700   299.21648     -4893.3978      55.997         25.155317    
     10800   307.33021     -4891.859       56.072         33.715693    
     10900   296.5702      -4890.022       56.147         24.438447    
     11000   309.61412     -4888.1893      56.222         19.925711    
     11100   293.79207     -4887.0231      56.297         30.060523    
     11200   316.62086     -4886.2076      56.372         27.523007    
     11300   296.39405     -4886.1351      56.447         40.572138    
     11400   297.51691     -4886.3301      56.522         29.950604    
     11500   281.85061     -4885.5176      56.597         34.561883    
     11600   301.01577     -4884.0635      56.672         32.885609    
     11700   297.83564     -4882.7426      56.747         31.788555    
     11800   285.61292     -4881.1447      56.822         32.164269    
     11900   298.74574     -4878.9444      56.897         40.551061    
     12000   315.13691     -4876.687       56.972         38.793744    
     12100   303.70138     -4874.631       57.047         39.709923    
     12200   309.48035     -4872.7044      57.122         43.666625    
     12300   311.51683     -4871.2651      57.197         42.170154    
     12400   295.4981      -4870.5971      57.272         42.226219    
     12500   290.31286     -4870.5017      57.347         45.353156    
     12600   284.71464     -4869.2092      57.422         47.065229    
     12700   287.70573     -4867.314       57.497         50.838669    
     12800   292.58844     -4864.9443      57.572         49.558839    
     12900   293.72835     -4862.2897      57.647         51.700412    
