ITEM: TIMESTEP
15800
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.2399916446225905e+01 2.2399916446225905e+01
-1.1128071838990754e+01 1.1128071838990754e+01
-1.1128071838990754e+01 1.1128071838990754e+01
ITEM: ENTRIES index c_dphi
110 -163.977 
111 -174.187 
112 65.539 
113 -47.1028 
114 -164.83 
115 68.8467 
116 -44.6988 
ITEM: TIMESTEP
15850
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.2399916446225905e+01 2.2399916446225905e+01
-1.1128071838990754e+01 1.1128071838990754e+01
-1.1128071838990754e+01 1.1128071838990754e+01
ITEM: ENTRIES index c_dphi
1 142.539 
2 -102.169 
3 18.9521 
4 -124.091 
5 118.532 
6 1.2651 
7 -121.863 
8 120.871 
9 -4.48504 
10 -5.39625 
11 -122.663 
12 111.981 
13 90.5783 
14 -26.4102 
15 -141.866 
16 134.343 
17 18.0831 
18 -111.538 
19 132.202 
20 9.19286 
21 -107.067 
22 -155.019 
23 -160.859 
24 82.0739 
25 -35.1087 
26 -41.208 
27 -158.275 
28 84.5427 
29 79.2307 
30 -37.8359 
31 -79.9337 
32 159.69 
33 40.5339 
34 53.353 
35 -65.6068 
36 174.735 
37 50.8843 
38 -68.7744 
39 169.844 
40 173.535 
41 53.8759 
42 -67.5057 
43 34.3845 
44 -86.7665 
45 155.755 
46 178.396 
47 -64.1588 
48 56.2978 
49 -151.384 
50 -25.9572 
51 88.2423 
52 152.793 
53 32.4033 
54 -89.5017 
55 -106.179 
56 15.8409 
57 133.493 
58 -96.0254 
59 143.049 
60 24.905 
61 -89.0971 
62 152.759 
63 31.8282 
64 22.2372 
65 -95.907 
66 143.163 
67 140.426 
68 17.1264 
69 -100.69 
70 98.3363 
71 -144.035 
72 -21.9193 
73 71.9475 
74 -47.6695 
75 -160.421 
76 84.492 
77 -28.2597 
78 -155.891 
79 -155.987 
80 91.261 
81 -36.3703 
82 70.393 
83 -60.4046 
84 -176.56 
85 179.375 
86 -63.4719 
87 -84.4851 
88 155.355 
89 42.7693 
90 -121.716 
91 3.8824 
92 116.368 
93 176.722 
94 51.7766 
95 -61.1742 
96 173.82 
97 60.8689 
98 -61.2348 
99 -65.8265 
100 -178.777 
101 59.119 
102 -174.313 
103 -51.6927 
104 68.2646 
105 86.7629 
106 -33.9809 
107 -154.787 
108 79.8135 
109 -40.9923 
110 -159.443 
111 -155.42 
112 83.7743 
113 -34.6761 
114 -165.169 
115 76.1214 
116 -45.2255 
ITEM: TIMESTEP
15900
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.2399916446225905e+01 2.2399916446225905e+01
-1.1128071838990754e+01 1.1128071838990754e+01
-1.1128071838990754e+01 1.1128071838990754e+01
ITEM: ENTRIES index c_dphi
1 138.521 
2 -98.1052 
3 18.2933 
4 -131.157 
5 107.872 
6 -7.82643 
7 -127.164 
8 117.138 
9 -6.19318 
10 -5.00464 
11 -120.703 
12 115.966 
13 103.151 
14 -19.8869 
15 -142.799 
16 123.533 
17 8.89176 
18 -121.363 
19 123.996 
20 -1.88598 
21 -116.527 
22 -172.933 
23 -169.223 
24 74.6308 
25 -51.1645 
26 -51.1482 
27 -167.294 
28 66.9105 
29 69.0086 
30 -47.1375 
31 -57.3113 
32 178.456 
33 63.1088 
34 58.8806 
35 -63.1152 
36 -179.754 
37 56.5285 
38 -60.1099 
39 178.524 
40 176.865 
41 60.2263 
42 -61.1395 
43 14.4043 
44 -96.8519 
45 129.333 
46 165.717 
47 -73.8139 
48 43.7502 
49 -161.575 
50 -47.1769 
51 69.7405 
52 158.157 
53 36.4859 
54 -82.0654 
55 -90.1293 
56 30.8349 
57 148.059 
58 -97.145 
59 145.211 
60 23.655 
61 -91.0288 
62 147.415 
63 26.6155 
64 26.6218 
65 -94.9339 
66 144.266 
67 149.468 
68 30.164 
69 -94.0668 
70 86.4693 
71 -153.2 
72 -39.0135 
73 69.244 
74 -48.4522 
75 -166.823 
76 81.246 
77 -37.1244 
78 -161.058 
79 -165.002 
80 76.6276 
81 -47.3058 
82 75.2088 
83 -49.0922 
84 -165.694 
85 -162.435 
86 -43.3851 
87 -83.3408 
88 162.675 
89 37.5681 
90 -147.854 
91 -31.8196 
92 94.6548 
93 162.051 
94 45.7393 
95 -69.1414 
96 175.32 
97 60.4397 
98 -68.3684 
99 -69.2634 
100 175.856 
101 47.0479 
102 -175.989 
103 -52.804 
104 67.4317 
105 85.5839 
106 -39.8247 
107 -157.595 
108 81.6656 
