  using 8 OpenMP thread(s) per MPI task
using multi-threaded neighbor list subroutines
Reading data file ...
  orthogonal box = (-20 -20 -20) to (20 20 20)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  1150 atoms
  reading velocities ...
  1150 velocities
  read_data CPU = 0.014 seconds
1000 atoms in group grp_t1
150 atoms in group grp_t2
165 atoms in group grp_in
985 atoms in group grp_out
38 atoms in group grp_t1_in
23 atoms in group grp_t2_out
Deleted 38 atoms, new total = 1112
Deleted 23 atoms, new total = 1089

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- Type Label Framework: https://doi.org/10.1021/acs.jpcb.3c08419
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Generated 1 of 1 mixed pair_coeff terms from geometric mixing rule
Last active /omp style is pair_style lj/cut/omp
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 4.3
  ghost atom cutoff = 4.3
  binsize = 2.15, bins = 19 19 19
  2 neighbor lists, perpetual/occasional/extra = 1 1 0
  (1) pair lj/cut/omp, perpetual
      attributes: half, newton on, omp
      pair build: half/bin/newton/atomonly/omp
      stencil: half/bin/3d
      bin: standard
  (2) compute coord/atom, occasional
      attributes: full, newton on, omp
      pair build: full/bin/atomonly/omp
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.005
Per MPI rank memory allocation (min/avg/max) = 12.62 | 12.62 | 12.62 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press         v_n1_in        v_n2_in      c_sumcoor12  
         0   1             -1.2629817      1.4986226      0.23564084     0.016734576    0              127            0.048856549  
      1000   0.98785386    -0.37111145     1.4804201      1.1093087      0.017776087    13             124            0.011434511  
      2000   1.0219184     -0.29855008     1.53147        1.2329199      0.017374604    24             122            0.012474012  
      3000   1.0096687     -0.25706342     1.5131123      1.2560489      0.017314512    24             123            0.0093555094 
      4000   1.0045074     -0.23878354     1.5053775      1.2665939      0.016660418    32             119            0.0072765073 
      5000   1.0050422     -0.2297211      1.5061789      1.2764578      0.016840845    34             117            0.016632017  
      6000   1.0407312     -0.22235732     1.5596633      1.3373059      0.01758711     40             118            0.016632017  
      7000   1.0118899     -0.20858035     1.5164411      1.3078607      0.017903822    40             114            0.01039501   
      8000   0.99082108    -0.19192616     1.4848669      1.2929407      0.017350131    48             114            0.013513514  
      9000   0.97518057    -0.18996447     1.4614276      1.2714632      0.016252631    44             113            0.0093555094 
     10000   0.99974203    -0.20393946     1.498236       1.2942965      0.016955103    48             111            0.016632017  
     11000   0.98473067    -0.19293834     1.4757396      1.2828013      0.016481113    52             111            0.015592516  
     12000   1.0237423     -0.19979596     1.5342033      1.3344073      0.01735742     54             109            0.017671518  
     13000   0.99477086    -0.21924035     1.4907861      1.2715457      0.015965395    65             108            0.013513514  
     14000   0.95367635    -0.20188242     1.4292009      1.2273185      0.014908525    60             108            0.021829522  
     15000   0.98638964    -0.21116614     1.4782258      1.2670596      0.015984479    68             107            0.01975052   
     16000   0.97976041    -0.20288888     1.4682911      1.2654022      0.016107818    75             106            0.017671518  
     17000   1.0184111     -0.20743761     1.5262139      1.3187763      0.016724201    78             104            0.017671518  
     18000   0.95456404    -0.20285674     1.4305312      1.2276745      0.016027975    79             104            0.021829522  
     19000   1.0012321     -0.20885819     1.5004691      1.2916109      0.016740426    69             104            0.01975052   
     20000   0.95752204    -0.21342732     1.4349642      1.2215368      0.015586057    73             105            0.017671518  
     21000   0.9927733     -0.21455556     1.4877925      1.2732369      0.016524088    73             102            0.020790021  
     22000   1.0130275     -0.21198704     1.518146       1.3061589      0.016530826    71             104            0.028066528  
     23000   1.0023505     -0.19992256     1.5021452      1.3022226      0.016330585    83             106            0.013513514  
     24000   1.006692      -0.20369623     1.5086514      1.3049552      0.016356069    87             104            0.016632017  
     25000   1.0039199     -0.21000095     1.5044971      1.2944961      0.016491444    83             104            0.024948025  
     26000   1.008716      -0.21815557     1.5116847      1.2935291      0.016004733    89             103            0.03014553   
     27000   1.0406155     -0.20272289     1.5594898      1.3567669      0.016675422    87             103            0.01975052   
     28000   0.97873639    -0.20865917     1.4667565      1.2580973      0.016614843    92             102            0.027027027  
     29000   0.98529367    -0.21566147     1.4765834      1.2609219      0.016902809    82             104            0.023908524  
     30000   0.99142462    -0.21767695     1.4857713      1.2680944      0.015903483    89             102            0.028066528  
     31000   1.0146416     -0.21298422     1.5205649      1.3075807      0.016673649    90             104            0.033264033  
     32000   1.0215288     -0.20662935     1.5308861      1.3242568      0.016673816    92             102            0.029106029  
     33000   1.0418449     -0.20163928     1.5613323      1.359693       0.017328595    85             104            0.032224532  
     34000   0.97762109    -0.21042371     1.465085       1.2546613      0.015110741    97             102            0.025987526  
     35000   0.98985405    -0.21791397     1.4834176      1.2655037      0.016067104    96             101            0.033264033  
     36000   1.0263284     -0.21707961     1.538079       1.3209994      0.016556226    98             102            0.023908524  
     37000   0.97889334    -0.20289229     1.4669917      1.2640994      0.016228216    103            103            0.023908524  
     38000   1.0121533     -0.21248483     1.5168358      1.304351       0.016909396    103            106            0.029106029  
     39000   1.0227958     -0.21487893     1.5327848      1.3179059      0.016652122    101            101            0.023908524  
     40000   0.98730505    -0.22452034     1.4795976      1.2550773      0.015974725    105            103            0.035343035  
     41000   1.0074344     -0.20315333     1.5097639      1.3066106      0.016591571    106            102            0.016632017  
     42000   1.0265761     -0.19201379     1.5384502      1.3464364      0.018041762    112            100            0.025987526  
     43000   0.97220553    -0.18560065     1.4569692      1.2713685      0.016617971    109            100            0.029106029  
     44000   1.0350663     -0.20476148     1.5511737      1.3464122      0.017009492    109            99             0.023908524  
     45000   1.0473615     -0.20507598     1.5695996      1.3645236      0.017835342    110            100            0.024948025  
     46000   0.98250614    -0.19460238     1.4724059      1.2778035      0.016411592    108            102            0.033264033  
     47000   1.034438      -0.21640596     1.5502321      1.3338262      0.016371523    108            100            0.031185031  
     48000   0.98329043    -0.21460651     1.4735812      1.2589747      0.015987265    118            99             0.03014553   
     49000   0.99108234    -0.21934446     1.4852584      1.2659139      0.015731648    113            99             0.023908524  
     50000   0.99029839    -0.2244536      1.4840835      1.2596299      0.015015083    117            100            0.021829522  
     51000   0.98404843    -0.20378321     1.4747172      1.270934       0.015718993    120            100            0.024948025  
     52000   0.94562974    -0.20595907     1.4171421      1.211183       0.015661028    114            99             0.032224532  
     53000   0.97915695    -0.21658597     1.4673867      1.2508008      0.01614904     116            99             0.027027027  
     54000   1.0506213     -0.22343739     1.5744848      1.3510474      0.016575007    123            99             0.024948025  
     55000   1.0196036     -0.2219572      1.528001       1.3060438      0.015788273    124            98             0.035343035  
     56000   1.0317946     -0.21556533     1.5462707      1.3307054      0.017420277    121            97             0.03950104   
     57000   0.98939994    -0.22297646     1.4827371      1.2597606      0.015989097    123            95             0.033264033  
     58000   0.97731707    -0.21732879     1.4646294      1.2473007      0.015611087    120            95             0.028066528  
     59000   1.0060069     -0.2049795      1.5076247      1.3026452      0.016816191    121            94             0.031185031  
     60000   1.0203873     -0.20530098     1.5291754      1.3238745      0.016417891    121            96             0.038461538  
     61000   1.0102215     -0.21209521     1.5139408      1.3018456      0.016556003    127            93             0.035343035  
     62000   1.0141941     -0.20701044     1.5198942      1.3128838      0.016599274    118            92             0.031185031  
     63000   1.0003558     -0.2241721      1.4991558      1.2749837      0.015150375    124            94             0.03014553   
     64000   1.0122846     -0.21727864     1.5170325      1.2997539      0.014806611    129            93             0.034303534  
     65000   0.96174203    -0.21331268     1.4412883      1.2279757      0.015366661    131            96             0.031185031  
     66000   0.96490635    -0.2131486      1.4460305      1.2328819      0.015242814    136            93             0.032224532  
     67000   0.98661447    -0.22001144     1.4785627      1.2585513      0.016239263    128            90             0.045738046  
     68000   0.9909989     -0.21808915     1.4851333      1.2670442      0.015911137    134            89             0.03014553   
     69000   1.0067422     -0.21211293     1.5087266      1.2966136      0.016811698    134            89             0.024948025  
