# Time-averaged data for fix myat3
# TimeStep v_mydensity
35700 0.0323419
35800 0.0323126
35900 0.0322748
36000 0.032228
36100 0.0321685
36200 0.0321058
36300 0.0320257
36400 0.0319234
36500 0.0318186
36600 0.0317278
36700 0.0316605
36800 0.0315983
36900 0.0315441
37000 0.0315049
37100 0.0314834
37200 0.0314824
37300 0.0314886
37400 0.0314812
37500 0.0314642
37600 0.0314647
37700 0.0314673
37800 0.0314751
37900 0.0314875
38000 0.0315105
38100 0.0315132
38200 0.0314823
38300 0.0314529
38400 0.0314443
38500 0.0314658
38600 0.0315028
38700 0.0315401
38800 0.0315621
38900 0.0315837
39000 0.031608
39100 0.0316338
39200 0.0316697
39300 0.0316839
39400 0.0316771
39500 0.0316497
39600 0.0316042
39700 0.0315856
39800 0.0315881
39900 0.0315944
40000 0.0315966
